	tweet_content
8474	MANCHESTER, England, July 6. -- The Philadelphia cricketers began here to-day their match with Lancashire in dull and threatening weather which kept the spectators away. The visitors put up a fine game for the home players and when hostilities were adjourned this evening, they had much the best of the first innings, for against Lancashire's total of 158, they had put on 103 for the loss of five wickets. View Full Article in Timesmachine »
8475	"Credit... The New York Times Archives
July 7, 1903 , Page 7 Buy Reprints See the article in its original context fromJuly 7, 1903 , Page 7 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
8476	"Credit... The New York Times Archives
July 7, 1903 , Page 10 Buy Reprints See the article in its original context fromJuly 7, 1903 , Page 10 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
8477	"Credit... The New York Times Archives
July 7, 1903 , Page 9 Buy Reprints See the article in its original context fromJuly 7, 1903 , Page 9 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
8478	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
LONDON, July 6. -- President Loubet, the first President of the French Republic who has ever represented the French Nation at the British Court, landed on British soil to-day. His trip from Dover to London and his reception in the British capital were marked with great enthusiasm on the part of the British public. View Full Article in Timesmachine »"
8479	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
WASHINGTON, July 6. -- A final census report on street and electric railways, issued to-day, shows that the North Atlantic States contain nearly one-half of the total single-track mileage of the United States and that the roads located there operate over half the passenger cars inservice and carried more than half of the total fare passengers and gave employment to more than half the employes reported by all roads. View Full Article in Timesmachine »"
8480	"Credit... The New York Times Archives
July 7, 1903 , Page 5 Buy Reprints See the article in its original context fromJuly 7, 1903 , Page 5 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
8481	"Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine.
BOSTON, July 6. -- The money market is very quiet, but somewhat easier. Call loans, 3 1/2@4 per cent.; time loans on collateral, 4 3/4@5 per cent.; time loans on mercantile paper, 5@5 1/2 per cent.; Clearing House loans, 3 1/2 per cent.; New York funds, 5 cents discount to par. Clearings, $23,821,238; balances, $3,484,280. View Full Article in Timesmachine »"
8482	"Credit... The New York Times Archives
July 7, 1903 , Page 8 Buy Reprints See the article in its original context fromJuly 7, 1903 , Page 8 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
8483	"Credit... The New York Times Archives
July 7, 1903 , Page 8 Buy Reprints See the article in its original context fromJuly 7, 1903 , Page 8 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
8484	"Credit... The New York Times Archives
July 7, 1903 , Page 6 Buy Reprints See the article in its original context fromJuly 7, 1903 , Page 6 View on timesmachine TimesMachine is an exclusive benefit for home delivery and digital subscribers.
Full text is unavailable for this digitized archive article. Subscribers may view the full text of this article in its original form through TimesMachine."
